"","Per 1 mL increase in fluid balance","p value"
"(Intercept)","1.24 ( 0.15 , 10.11 )","0.838"
"age","1.02 ( 1.02 , 1.03 )","< 0.001"
"gender1","1.03 ( 0.9 , 1.17 )","0.698"
"weight","1 ( 0.99 , 1 )","0.02"
"hemoglobin","0.98 ( 0.95 , 1 )","0.085"
"creatinine","0.93 ( 0.88 , 0.97 )","0.002"
"wbc","1 ( 1 , 1.01 )","0.098"
"temp_value","0.86 ( 0.81 , 0.91 )","< 0.001"
"resp_rate","1.04 ( 1.03 , 1.05 )","< 0.001"
"heart_rate","1.01 ( 1 , 1.01 )","< 0.001"
"mean_bp","1 ( 0.99 , 1 )","0.193"
"Mechanical_ventilation_duration","0.98 ( 0.97 , 0.99 )","< 0.001"
"mingcs","0.97 ( 0.95 , 0.99 )","0.003"
"sofa","1.24 ( 1.21 , 1.27 )","< 0.001"
"diabetes1","0.89 ( 0.77 , 1.04 )","0.138"
"hypertension1","0.74 ( 0.54 , 1.02 )","0.064"
"congestive_heart_failure1","1.05 ( 0.91 , 1.21 )","0.506"
"renal_failure1","0.92 ( 0.68 , 1.23 )","0.559"
"liver_disease1","1.39 ( 1.12 , 1.71 )","0.002"
"cancer1","2.48 ( 2.02 , 3.03 )","< 0.001"
"aids1","0.93 ( 0.26 , 2.57 )","0.906"
"chronic_pulmonary1","1 ( 0.86 , 1.17 )","0.964"
"obesity1","0.89 ( 0.64 , 1.22 )","0.462"
"eskd1","0.84 ( 0.55 , 1.27 )","0.416"
"pul1","1.28 ( 1.12 , 1.47 )","< 0.001"
"dialysis1","1.66 ( 1.33 , 2.08 )","< 0.001"
"group2","1.01 ( 0.83 , 1.23 )","0.909"
"group3","0.86 ( 0.71 , 1.04 )","0.125"
"group4","0.75 ( 0.61 , 0.92 )","0.005"
