"","Per 1 mL increase in fluid balance","p value"
"(Intercept)","2.25 ( 0.35 , 14.5 )","0.392"
"age","1.03 ( 1.02 , 1.03 )","< 0.001"
"gender1","0.87 ( 0.77 , 0.97 )","0.012"
"weight","0.99 ( 0.99 , 1 )","< 0.001"
"hemoglobin","0.95 ( 0.93 , 0.97 )","< 0.001"
"creatinine","0.91 ( 0.87 , 0.94 )","< 0.001"
"wbc","1.01 ( 1 , 1.01 )","0.007"
"temp_value","0.86 ( 0.82 , 0.9 )","< 0.001"
"resp_rate","1.04 ( 1.03 , 1.05 )","< 0.001"
"heart_rate","1.01 ( 1 , 1.01 )","< 0.001"
"mean_bp","1 ( 1 , 1 )","0.317"
"Mechanical_ventilation_duration","0.99 ( 0.98 , 0.99 )","< 0.001"
"mingcs","1 ( 0.99 , 1.02 )","0.676"
"sofa","1.2 ( 1.17 , 1.22 )","< 0.001"
"diabetes1","0.86 ( 0.76 , 0.98 )","0.02"
"hypertension1","0.68 ( 0.52 , 0.88 )","0.004"
"congestive_heart_failure1","1.14 ( 1.01 , 1.29 )","0.034"
"renal_failure1","1.08 ( 0.84 , 1.37 )","0.563"
"liver_disease1","1.76 ( 1.47 , 2.11 )","< 0.001"
"cancer1","2.55 ( 2.13 , 3.04 )","< 0.001"
"aids1","0.91 ( 0.33 , 2.15 )","0.845"
"chronic_pulmonary1","0.9 ( 0.79 , 1.03 )","0.113"
"obesity1","0.91 ( 0.69 , 1.2 )","0.509"
"eskd1","0.76 ( 0.53 , 1.08 )","0.127"
"pul1","1.18 ( 1.04 , 1.33 )","0.008"
"dialysis1","1.96 ( 1.61 , 2.39 )","< 0.001"
"group2","1.11 ( 0.95 , 1.3 )","0.182"
"group3","0.92 ( 0.79 , 1.09 )","0.334"
"group4","0.8 ( 0.67 , 0.95 )","0.01"
