"","Per 1 mL increase in fluid balance","p value"
"(Intercept)","2.34 ( 0.37 , 14.7 )","0.365"
"age","1.03 ( 1.02 , 1.03 )","< 0.001"
"gender1","0.88 ( 0.78 , 0.98 )","0.021"
"weight","0.99 ( 0.99 , 1 )","< 0.001"
"hemoglobin","0.95 ( 0.93 , 0.98 )","< 0.001"
"creatinine","0.9 ( 0.87 , 0.94 )","< 0.001"
"wbc","1.01 ( 1 , 1.01 )","0.008"
"temp_value","0.86 ( 0.82 , 0.9 )","< 0.001"
"resp_rate","1.04 ( 1.03 , 1.05 )","< 0.001"
"heart_rate","1.01 ( 1 , 1.01 )","< 0.001"
"mean_bp","1 ( 1 , 1 )","0.342"
"Mechanical_ventilation_duration","0.99 ( 0.98 , 0.99 )","< 0.001"
"mingcs","1 ( 0.99 , 1.02 )","0.612"
"sofa","1.2 ( 1.17 , 1.22 )","< 0.001"
"diabetes1","0.86 ( 0.75 , 0.97 )","0.015"
"hypertension1","0.68 ( 0.52 , 0.88 )","0.004"
"congestive_heart_failure1","1.15 ( 1.02 , 1.3 )","0.027"
"renal_failure1","1.07 ( 0.84 , 1.37 )","0.578"
"liver_disease1","1.76 ( 1.47 , 2.11 )","< 0.001"
"cancer1","2.54 ( 2.13 , 3.03 )","< 0.001"
"aids1","0.92 ( 0.33 , 2.18 )","0.864"
"chronic_pulmonary1","0.9 ( 0.79 , 1.03 )","0.124"
"obesity1","0.9 ( 0.68 , 1.18 )","0.454"
"eskd1","0.78 ( 0.55 , 1.11 )","0.172"
"pul1","1.17 ( 1.04 , 1.32 )","0.011"
"dialysis1","1.96 ( 1.61 , 2.39 )","< 0.001"
"group2","1.14 ( 0.97 , 1.33 )","0.107"
"group3","0.95 ( 0.81 , 1.11 )","0.5"
"group4","0.81 ( 0.68 , 0.96 )","0.017"
