"","Per 1 mL increase in fluid balance","p value"
"(Intercept)","1.27 ( 0.19 , 8.46 )","0.807"
"age","1.03 ( 1.03 , 1.03 )","< 0.001"
"gender1","0.9 ( 0.8 , 1.01 )","0.066"
"weight","0.99 ( 0.99 , 1 )","< 0.001"
"hemoglobin","0.97 ( 0.95 , 1 )","0.047"
"creatinine","0.95 ( 0.91 , 0.99 )","0.013"
"wbc","1.01 ( 1 , 1.01 )","0.001"
"temp_value","0.87 ( 0.82 , 0.91 )","< 0.001"
"resp_rate","1.04 ( 1.03 , 1.05 )","< 0.001"
"heart_rate","1 ( 1 , 1.01 )","0.004"
"mean_bp","1 ( 0.99 , 1 )","0.121"
"Mechanical_ventilation_duration","0.99 ( 0.99 , 1 )","0.002"
"mingcs","1 ( 0.98 , 1.02 )","0.93"
"sofa","1.19 ( 1.17 , 1.22 )","< 0.001"
"diabetes1","0.9 ( 0.79 , 1.02 )","0.1"
"hypertension1","0.73 ( 0.55 , 0.96 )","0.025"
"congestive_heart_failure1","1.04 ( 0.91 , 1.18 )","0.565"
"renal_failure1","1.03 ( 0.8 , 1.33 )","0.802"
"liver_disease1","1.77 ( 1.46 , 2.12 )","< 0.001"
"cancer1","2.6 ( 2.17 , 3.11 )","< 0.001"
"aids1","0.71 ( 0.21 , 1.89 )","0.543"
"chronic_pulmonary1","1 ( 0.87 , 1.14 )","0.976"
"obesity1","0.98 ( 0.73 , 1.3 )","0.878"
"eskd1","0.9 ( 0.61 , 1.3 )","0.567"
"pul1","1.22 ( 1.07 , 1.38 )","0.002"
"dialysis1","1.16 ( 0.94 , 1.43 )","0.156"
"group2","1.08 ( 0.91 , 1.27 )","0.385"
"group3","0.91 ( 0.77 , 1.08 )","0.289"
"group4","0.75 ( 0.62 , 0.89 )","0.002"
